Max Reward,Max Query Reward,Turns Taken,Max Turns Allowed,Hardness,Correct
1.0,1.0,1,1,easy,True
1.0,1.0,1,1,medium,True
1.0,1.0,1,1,easy,True
1.0,1.0,1,1,medium,True
1.0,1.0,1,1,easy,True
1.0,1.0,1,1,medium,True
1.0,1.0,1,1,easy,True
0.0,0.6818181818181818,1,1,medium,False
1.0,1.0,1,1,easy,True
0.0,0.6585365853658537,1,1,medium,False
1.0,1.0,1,1,easy,True
1.0,1.0,1,1,medium,True
0.0,0.7076923076923077,1,1,easy,False
0.0,0.7076923076923077,1,1,medium,False
0.0,0.7432432432432432,1,1,easy,False
0.0,0.7432432432432432,1,1,medium,False
1.0,1.0,1,1,easy,True
0.0,0.7625,1,1,medium,False
1.0,1.0,1,1,easy,True
1.0,1.0,1,1,easy,True
1.0,1.0,1,1,medium,True
1.0,0.6923076923076923,1,1,medium,True
1.0,1.0,1,1,easy,True
0.0,0.967741935483871,1,1,hard,False
0.0,0.7469879518072289,1,1,hard,False
0.0,0.8253968253968254,1,1,hard,False
0.0,0.9506172839506173,1,1,hard,False
0.0,1.0,1,1,hard,False
1.0,0.9882352941176471,1,1,hard,True
0.0,0.6753246753246753,1,1,hard,False
