Max Reward,Max Query Reward,Turns Taken,Max Turns Allowed,Hardness,Correct
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,easy,True
0.6229508196721312,0.8108108108108109,3,3,medium,False
1.0,1.0,1,3,easy,True
0.0,0.35064935064935066,3,3,medium,False
1.0,1.0,1,3,easy,True
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,easy,True
0.0,0.65,3,3,medium,False
1.0,1.0,1,3,easy,True
1.0,1.0,2,3,medium,True
0.0,0.9178082191780822,3,3,easy,False
0.0,0.9178082191780822,3,3,medium,False
0.0,0.8648648648648649,3,3,easy,False
0.0,0.868421052631579,3,3,easy,False
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,medium,True
1.0,1.0,1,3,easy,True
1.0,1.0,3,3,hard,True
0.0,0.6875,3,3,hard,False
0.0,0.7540983606557377,3,3,hard,False
1.0,1.0,2,3,hard,True
0.0,1.0,3,3,hard,False
0.0,0.872093023255814,3,3,hard,False
0.0,0.6447368421052632,3,3,hard,False
